id;name;depotStock;reel;ecart
77;Mesure de Blue Label;24;24;0
66;L.-E Merlot;20;5;-15
5;4 Cousins Sweet White;18;18;0
67;L.-E Sauvignon Blanc;15;1;-14
92;Mesure de JAGERMEIFTER;15;0;-15
4;4 Cousins Sauvignon Rouge;12;6;-6
3;4 Cousins Sauvignon Blanc;11;9;-2
83;Mesure de DISARONNO;11;11;0
302;4 cousins strawberry hilles;11;21;10
37;Bouteille de Red Label 37.5cl;10;7;-3
1;4 Cousins Chardonnay Blanc;9;6;-3
10;Baron d'Arignac Medium Sweet;9;9;0
301;4 cousins marule;7;7;0
2;4 Cousins Rouge Merlot;6;11;5
6;Baron Blanc de Blancs;6;6;0
11;BARON ICE;6;0;-6
111;MOET BRUT 75cl;6;9;3
36;Bouteille de RED LABEL;4;2;-2
8;Baron D'arignac rouge moelleux;3;3;0
17;Bouteille de BLACK LABEL;3;1;-2
18;Bouteille de Black Label 37.5cl;3;4;1
23;Bouteille de DOUBLE BLACK 75cl;3;3;0
27;Bouteille de HENNESSY VS;3;1;-2
65;L.-E Cabernet Sauvignon;3;0;-3
9;Baron D'arignac Rouge Sec;2;2;0
16;Bouteille de BAILEYS;2;0;-2
19;Bouteille de CHIVAS 12yrs;2;1;-1
26;Bouteille de GIN GORDON;2;1;-1
28;Bouteille de J&B;2;1;-1
30;Bouteille de JACK DANIEL'S;2;1;-1
32;Bouteille de JAMSON;2;2;0
40;Bouteille Glenfiddich 12ans;2;1;-1
41;Bouteille Glenfiddich 15ans;2;2;0
46;Bouteille Jack Daniels Single barrel;2;1;-1
49;Bouteille Martell VS;2;2;0
52;Bouteille Signore Prosecco;2;0;-2
62;DON OSCART BRUT;2;0;-2
114;Papillon Brut;2;2;0
122;Sir Edward Smoky;2;0;-2
15;Bouteille de AMARULA;1;1;0
20;Bouteille de CHIVAS 15ans;1;1;0
21;Bouteille de CHIVAS 18ans;1;1;0
31;Bouteille de JACK DANIEL'S HONEY;1;1;0
33;Bouteille de MALIBU;1;1;0
42;Bouteille Glenfiddich 18 yrs;1;1;0
48;Bouteille Martell Blue Swift;1;0;-1
53;Bouteille Sir Edward;1;3;2
69;Martini sans Alcool;1;0;-1
119;Ruinart Petit Brut;1;1;0